"","Case","Images","DAB","Hem","Ratio","D_Objects","H_Objects","Object_Ratio"
"26","12","12_Recurrent_p53_5_features_d.csv 12_Recurrent_p53_5_features_h.csv",1502750,840871,1.78713500643975,1236,718,1.72144846796657
"27","12","12_Recurrent_p53_6_features_d.csv 12_Recurrent_p53_6_features_h.csv",1744558,1066348,1.63601188355021,1427,592,2.41047297297297
"28","12","12_Recurrent_p53_7_features_d.csv 12_Recurrent_p53_7_features_h.csv",2670682,1577061,1.69345510414626,1539,955,1.61151832460733
"29","12","12_Recurrent_p53_8_features_d.csv 12_Recurrent_p53_8_features_h.csv",2091947,1054784,1.98329420999939,1342,723,1.85615491009682
"30","12","12_Recurrent_p53_9_features_d.csv 12_Recurrent_p53_9_features_h.csv",2190887,1222391,1.7922964092504,1328,794,1.67254408060453
"31","23","23_Reactive_p53_1_features_d.csv 23_Reactive_p53_1_features_h.csv",106429,380679,0.279576756269718,185,670,0.276119402985075
"32","23","23_Reactive_p53_10_features_d.csv 23_Reactive_p53_10_features_h.csv",138333,788224,0.175499604173433,278,1222,0.227495908346972
"33","23","23_Reactive_p53_11_features_d.csv 23_Reactive_p53_11_features_h.csv",126045,621852,0.202692923718184,288,1053,0.273504273504274
"34","23","23_Reactive_p53_12_features_d.csv 23_Reactive_p53_12_features_h.csv",140235,702476,0.19962959588655,275,1191,0.230898404701931
"35","23","23_Reactive_p53_13_features_d.csv 23_Reactive_p53_13_features_h.csv",123862,643201,0.192571218017385,242,998,0.24248496993988
"36","23","23_Reactive_p53_14_features_d.csv 23_Reactive_p53_14_features_h.csv",66249,569181,0.116393554950007,167,999,0.167167167167167
"37","23","23_Reactive_p53_15_features_d.csv 23_Reactive_p53_15_features_h.csv",83768,608215,0.137727612768511,174,1010,0.172277227722772
"38","23","23_Reactive_p53_2_features_d.csv 23_Reactive_p53_2_features_h.csv",120622,460189,0.262114044446955,277,831,0.333333333333333
"39","23","23_Reactive_p53_3_features_d.csv 23_Reactive_p53_3_features_h.csv",166945,524729,0.318154704618956,378,923,0.409534127843987
"40","23","23_Reactive_p53_4_features_d.csv 23_Reactive_p53_4_features_h.csv",100390,663858,0.151222098701831,141,1022,0.137964774951076
"41","23","23_Reactive_p53_5_features_d.csv 23_Reactive_p53_5_features_h.csv",143574,587696,0.244299774032833,222,894,0.248322147651007
"42","23","23_Reactive_p53_6_features_d.csv 23_Reactive_p53_6_features_h.csv",176636,652146,0.27085345919472,312,1006,0.31013916500994
"43","23","23_Reactive_p53_7_features_d.csv 23_Reactive_p53_7_features_h.csv",121676,602866,0.201829262224109,228,1057,0.215704824976348
"44","23","23_Reactive_p53_8_features_d.csv 23_Reactive_p53_8_features_h.csv",148170,599905,0.246989106608546,313,954,0.328092243186583
"45","23","23_Reactive_p53_9_features_d.csv 23_Reactive_p53_9_features_h.csv",107746,735697,0.146454314751861,206,1200,0.171666666666667
"46","23","23_Recurrent_p53_1_features_d.csv 23_Recurrent_p53_1_features_h.csv",25552,474722,0.0538251861089227,45,793,0.0567465321563682
"47","23","23_Recurrent_p53_10_features_d.csv 23_Recurrent_p53_10_features_h.csv",63146,625965,0.100877844607925,86,1117,0.0769919427036705
"48","23","23_Recurrent_p53_11_features_d.csv 23_Recurrent_p53_11_features_h.csv",233809,714734,0.327127294909715,397,1130,0.351327433628319
"49","23","23_Recurrent_p53_12_features_d.csv 23_Recurrent_p53_12_features_h.csv",67860,326434,0.207882757310819,78,450,0.173333333333333
